
Geneid	results/003.STAR.out/Ezh2C1Aligned.out.bam	results/003.STAR.out/Ezh2C2Aligned.out.bam	results/003.STAR.out/Ezh2C3Aligned.out.bam	results/003.STAR.out/Ezh2C4Aligned.out.bam	results/003.STAR.out/Ezh2C5Aligned.out.bam	results/003.STAR.out/Ezh2C6Aligned.out.bam	results/003.STAR.out/EZH2V1Aligned.out.bam	results/003.STAR.out/EZH2V2Aligned.out.bam	results/003.STAR.out/EZH2V3Aligned.out.bam	results/003.STAR.out/EZH2V4Aligned.out.bam	results/003.STAR.out/EZH2V5Aligned.out.bam	results/003.STAR.out/RenC1Aligned.out.bam	results/003.STAR.out/RenC2Aligned.out.bam	results/003.STAR.out/RenC3Aligned.out.bam	results/003.STAR.out/RenC5Aligned.out.bam	results/003.STAR.out/RenC6Aligned.out.bam	results/003.STAR.out/RenV1Aligned.out.bam	results/003.STAR.out/RenV2Aligned.out.bam	results/003.STAR.out/RenV3Aligned.out.bam	results/003.STAR.out/RenV7Aligned.out.bam	results/003.STAR.out/RenV8Aligned.out.bam
ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	9	0	1	0	0	0	0	0	1	0	0	7	0	2	0	7	0	0	0	0	2
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	1	1	1	0	0
ENSMUSG00000103161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102948	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	0	4	0	0	1	0	0	0	0	2	3	0	0	0	0	2	3	0	0	0	1
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	3	10	11	8	6	5	3	3	7	8	6	1	16	4	5	8	5	8	5	8	7
ENSMUSG00000096126	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	7	4	9	5	13	8	5	7	8	5	12	10	15	6	5	9	6	7	7	12	14
ENSMUSG00000102175	2	2	0	0	1	0	1	0	1	2	1	4	0	0	1	0	4	1	2	2	3
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000103922	14	12	10	20	6	18	6	23	13	31	18	10	14	9	11	15	10	9	15	15	10
ENSMUSG00000033845	549	528	380	580	632	647	582	869	717	1001	627	666	636	759	1174	680	715	746	872	860	966
ENSMUSG00000102275	10	6	6	1	4	6	4	10	4	10	9	2	0	2	7	6	10	9	7	9	1
ENSMUSG00000025903	503	492	411	633	652	699	542	756	521	881	483	509	591	600	546	472	497	521	519	513	543
ENSMUSG00000104217	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	1255	1314	992	1452	1318	1621	1570	2218	1697	2688	1386	1381	1392	1559	1750	1444	1546	1676	1706	1929	1766
ENSMUSG00000062588	9	6	7	7	20	13	8	20	12	21	17	6	7	12	17	8	15	10	7	8	9
ENSMUSG00000103280	9	13	14	8	2	10	11	25	18	17	17	12	10	13	3	13	10	13	16	6	14
ENSMUSG00000002459	59	79	79	53	40	95	88	206	146	135	108	79	111	104	60	59	128	104	128	147	151
ENSMUSG00000091305	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000102653	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0	2	1	0	1	1	0	0	0	1	2	0	0	0	0	2
ENSMUSG00000091665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793	1067	1138	737	1055	1336	1058	844	1164	1255	1560	648	982	914	1152	1316	984	984	1101	1016	1091	1035
ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
ENSMUSG00000104046	0	0	0	0	0	3	0	0	0	0	1	0	0	2	1	0	1	2	0	0	1
ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
